company_name,occupation,region,rating,recommend,pros,cons,burnout_exhaustion_flag,burnout_exhaustion_terms,compassion_fatigue_flag,compassion_fatigue_terms,management_frustration_flag,management_frustration_terms,fulfillment_purpose_flag,fulfillment_purpose_terms,salary_dissatisfaction_flag,salary_dissatisfaction_terms,turnover_instability_flag,turnover_instability_terms,job_satisfaction_flag,job_satisfaction_terms,team_support_flag,team_support_terms,pride_recognition_flag,pride_recognition_terms,healthy_balance_flag,healthy_balance_terms,pros_sentiment,cons_sentiment,invisible_labor_score,positive_experience_score
HealthTrust Workforce Solutions,Nurse,West,2.0,negative,They'll continue to renew your contract/block book for forever,They are the worst agency I have ever worked for. I've gone through 6 recruiters. I can't ever get a hold of anyone or ever get anything answered. No clear way to submit your paperwork or access your information. Onboarding took 2 months.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,2.0,negative,there are really none working for this company.,it’s hca can I say more?,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,negative,Great pay and work life balance,HCA does not care for their employees or patients like other facilities,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,work life balance,0.16666666666666666,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,South,2.0,negative,Pay is good and they offer certain benefits.,"No health insurance benefits for pardiem staff. Awful, awful flowing up. After they recruit you, your recruiter goes MIA. They take so so long to process you as a candidate. You will be contacted by like 5 different people before you are cleared to work and that can take up to a month. The North Florida division is the worst, with basically no options for hospitals and they cancel you a lot. So even though the pay is better you would end up with little shifts worked. It’s a hassle to work for this division of HCA.",0,,0,,0,,0,,1,pay is,0,,0,,0,,0,,0,,0.125,-0.02040816326530612,0.0,0.0
HealthTrust Workforce Solutions,Nurse,West,4.0,,"Kind people, decent pay, therapy dogs that visit on occasion","Poor communication, lack of good management",0,,0,,1,poor communication,0,,0,,0,,0,,0,,0,,1,decent pay,0.0,0.0,0.5,0.5
HealthTrust Workforce Solutions,Nurse,South,4.0,positive,Self scheduling. Pay higher than staff. A lot of hospitals to work at.,No guaranteed hours. Canceled quite a bit at 5:30-5:45.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,4.0,positive,"Good pay, flexible scheduling, lots of hospitals to work at.",401 K and that's all. No other benefits.,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.2,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,,5.0,,Work life balance is possible with this company!,Sometimes not consistent bonuses for shifts,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,work life balance,0.0,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,,5.0,positive,My pay is always correct and there's so much flexibility to manage your personal life,You get cancelled a couple hours before your shift starts,0,,0,,0,,0,,1,pay is,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,2.0,,Make you own schedule most of the time Better pay than staff nurse,"Incentives are inconsistent even though staffing hasn't changed, nor has it improved. Stessfull assignments, almost always tripled in ICU. Unorganized and pretty unethical company.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,5.0,,Flexible and working on personal time,Never knowing what unit you’re working on,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.16666666666666666,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,West,4.0,positive,Flexible hours that you can choose,Average pay and mandatory on-call,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.16666666666666666,0.0,0.0,0.5
